 year,Export,中國與香港,美國,歐洲
2000,,24.4,23.4,15.7
2001,126612229,26.7036725180788,22.2160617676196,15.7876369114393
2002,135774414,32.2146122464576,20.1618988390552,13.8521614241694
2003,151344857,35.8070991470823,17.5607209434279,13.7204239454268
2004,183642536,38.0038810834109,15.6910657125754,12.9709219437048
2005,199760933,39.1850197255536,14.6001170308911,11.8349201943305
2006,225904198,39.8602535044524,14.3754030635588,11.5761005025679
2007,248792019,40.6776235856666,12.9285208300834,11.5561327552071
2008,258051431,38.9730499111241,12.0057543877755,11.6347605140775
2009,205662501,41.1549128248713,11.5269657252685,11.0499546049963
2010,278008159,41.8044212867868,11.3936508604411,10.6278395232278
2011,312922860,40.2561580192639,11.6828927103632,10.0430393612023
2012,306409151,39.5422540758256,10.8430100379084,9.43083060858062
2013,311428005,40.2357806581974,10.4776001117819,8.96063698574571
2014,320092053,40.1551793602324,10.9700068061359,9.09807654612406
2015,285343561,39.4401715621682,12.1056910760289,9.0990481470861
