Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.27,71.4,68.07,61.88,71.74,74.56,70.44,84.59,79.83,70.93,69.19,73.07,77.72,72.7,67.07,71.05,63.86,79.24,90.51,90.56
Ethiopia,,,,,,,,,,,,,,,,,,,,,,7.72,6.87,6.56,7.7,5.9,6.94,6.03,5.94,6.67,5.62,4.11,3.25,5.85,7.2,9.79,9.35,11.99,13.51,12.09,12.16,12.12,12.75,13.46,15.02,15.27,14.04,12.87,11.61,10.69,13.85,17,13.93
European Union,19.34,19.02,18.67,18.57,18.7,18.89,19.12,18.78,19.81,20.74,20.6,20.66,20.64,21.77,24.99,23.31,24.41,25,24.68,25.47,25.65,26.97,26.99,27.36,29.16,29.45,26.42,25.89,25.89,27,27,27,26.8,27.17,28.43,30.1,30.53,32.34,32.54,32.7,36.12,36.12,35.26,34.45,35.7,37.04,39.39,39.84,40.7,36.39,40.19,42.9,43.12
Finland,21.11,20.01,19.92,19.07,18.97,19.01,18.7,18.52,21.3,22.7,24.16,22.84,23.94,23.89,25.99,22.4,23.83,27.17,28.2,29.93,31.19,31.68,29.22,29.1,29.92,28.44,25.84,25.16,23.99,23.38,22.53,21.66,25.97,31.82,34.8,36.47,37.23,38.76,38.58,38.83,43.58,41.51,40.53,38.7,39.86,41.76,45.49,45.81,46.83,37.34,40.35,40.98,40.57
Fiji,38.12,30.68,35.66,51.07,55.94,46.32,43.44,44.57,47.39,49.53,48.38,49.79,45.89,45.29,49.13,42.99,37.71,43.92,42.65,45.27,47.78,43.02,43.23,43.61,42.83,44.36,41.66,45.32,54.3,62.67,62.34,57.31,51.92,52.38,56.42,59.29,62.85,61.04,60.8,61.02,65.16,60.67,61.48,59.87,53.81,53.13,49.91,49.04,55.46,48.58,56.32,59.34,62.3
France,14.4,13.92,12.83,12.6,12.64,13.23,13.29,13.14,13.17,14.01,15.97,16.49,16.67,17.58,20.73,18.96,19.46,20.33,20.58,21.11,21.4,22.42,21.86,22.89,24.33,23.81,20.8,20.02,20.81,22.15,21.48,21.81,21.81,21.2,22.03,22.96,23.39,25.93,26.47,26.35,28.81,28.36,27.5,25.91,26.14,26.36,27.02,26.86,26.95,23.37,25.53,26.9,27.44
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,34.17,31.21,31.71,47.1,41.89,43.24,39.74,48.05,48.42,54.66,49.72,66.32,73.09,58.85,57.55,49.52,45.58,51.59,61.76,58.49,64.72,63.36,61.59,61.32,59.09,62.57,35.19,42.69,36.73,45.8,46.04,47.26,46.08,48.79,61.68,59.39,62.66,61.3,47.41,59.61,69.03,59.03,53.56,55.34,62.2,64.74,61.93,62.25,63.84,52.5,53.85,58.29,56.88
United Kingdom,20.21,19.9,19.42,19.32,18.73,18.51,18.75,18.48,20.7,21.48,22.33,22.46,21.15,23.09,27.35,25.4,28.05,29.76,28.3,27.82,27.14,26.68,26.3,26.49,28.33,28.75,25.62,25.34,22.95,23.63,24.22,23.43,23.66,25.59,26.65,28.42,29.16,28.34,26.25,25.83,27.31,26.92,25.89,25.52,25.21,26.62,28.72,26.65,29.39,28.37,30.11,32.07,31.54
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.56,42.54,42.37,39.95,27.78,35.67,46.89,57.77,25.5,13.33,15.61,16.46,19.06,22.99,24.46,29.23,31.84,31.56,33.75,32.87,31.21,28.62,29.74,34.95,36.28,38.44
Ghana,28.18,26.13,24.21,21.18,19.9,17.12,14.62,17.4,20.32,19.72,21.33,15.76,20.7,21.45,18.33,19.36,15.71,10.49,8.36,11.23,8.47,4.76,3.34,5.56,8.04,10.65,16.58,19.66,18.18,16.74,16.88,16.96,17.23,20.25,25.26,24.5,32.11,32.41,33.87,32.08,48.8,45.23,42.62,40.68,39.3,36.45,25.19,24.52,25.03,29.29,29.48,44.12,45.85
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,31.09,31.63,26.87,31.09,31.08,30.33,24.87,26.52,22.75,21.12,19.2,19.56,21.29,21.64,24.52,28.58,26.48,25.96,24.63,34.79,40.59,28.76,34.93,26.54,28.35,30.25,29.72
"Gambia, The",,,,,,,36.17,40.52,39.99,40.39,37.79,32.37,33.77,35.1,38.97,44.71,41.06,36.74,33.68,34.96,42.74,43.96,44.33,50.49,51.12,43.86,46.62,49.42,50.37,55.06,59.9,29.44,30.59,28.19,21.24,23.78,21.8,22.93,25.31,24.4,25.8,21.82,27.16,31.09,34.22,32.76,33.85,28.89,23.45,25.35,23.49,28.86,28.57
Guinea-Bissau,,,,,,,,,,,4,4.16,4.36,6.06,5.02,5.18,5.27,9.3,7.73,7.27,12.69,11.19,7.84,6.01,13.4,9.76,5.24,11.37,12.44,8.89,9.94,9.98,4.9,8.87,16.45,11.67,10.52,21.02,14.44,24.86,18.92,18.39,15.5,16.25,15.95,17.29,14.81,17.27,15.89,15.51,16.5,26.47,17.32
Equatorial Guinea,,,68.14,62.8,62.6,42.11,43.82,42.43,29.62,36.1,35.7,46.47,34.79,38.34,42.34,42.98,47,47.01,,,,,,,,30.09,35.46,37.24,40.17,36.67,32.15,48.23,1.95,1.97,56.02,55.2,77.58,100.82,101.75,,99.46,101.35,99.62,96.85,90.13,87.42,86.76,81.89,95.87,82.84,84.78,85.64,84.37
Greece,8.51,8.65,9.06,9.35,8.54,8.36,10.5,9.94,8.94,9.06,9.68,10.01,11.21,14.29,17.45,17.36,17.25,17.16,16.76,18.63,23.73,26.26,21.13,20.23,20.63,19.81,21.72,22.25,20.03,19.58,18.14,17.43,18.27,17.25,17.74,17.71,17.62,19.8,19.96,22.54,25.73,24.87,21.81,20.71,23.13,23.21,23.15,23.79,24.13,19.26,22.24,25.05,27
Grenada,,,,,,,,,,,,,,,,,,50.64,50.33,51.45,47.35,44.71,40.21,38.53,37.95,43.04,53.01,47.99,47.05,40.28,42.43,40.71,39.59,49.03,48.06,44.81,44.66,43.97,46.19,57.43,45.05,37.67,31.71,30.11,32.96,21.25,23.03,24.74,22.8,22.46,21.45,22.57,25.24
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,12.64,11.95,11.79,14.29,15.39,16.79,18.94,16.21,16.73,17.8,18.57,17.29,18.91,20.88,22.41,21.72,21.57,24.46,21.48,21.35,22.19,17.09,14.79,12.99,13,11.95,16.05,15.85,16.1,17.31,21.03,17.95,18.07,17.7,17.52,19.26,17.81,17.96,18.17,19,20.2,28.21,26.3,25.77,26.98,25.05,24.93,25.57,24.72,23.98,25.81,26.61,24.95
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,48.73,52.07,56.64,62.93,57.11,55.26,54.99,57.44,58.24,59.25,56.46,58.41,57.47,52.19,68.35,74.88,66.08,63.21,63.08,59.81,81.29,68.92,52.78,45.88,44.16,48.09,46.3,79.57,63.63,66.34,62.71,105.91,127.56,117.38,104.95,101.21,102.62,99.66,95.93,96.51,96.08,94.99,92.77,89.81,95.79,84.62,,,,,,,
High income,12.83,12.36,12.36,12.3,12.54,12.81,13.05,12.89,13.88,14.37,15.02,15.12,15.16,16.65,18.7,17.89,18.46,18.58,18.32,19.18,20.3,20.75,20.04,19.7,20.63,20.41,18.82,18.85,19.22,19.75,19.9,19.74,20.54,20.21,20.77,21.93,22.16,23.18,23.37,23.49,25.48,24.88,24.35,24.32,25.59,26.57,28.03,28.69,29.8,26.3,28.7,30.49,30.42
"Hong Kong SAR, China",83.05,71.63,70.26,69.11,68.85,68.82,75.91,80.63,90.21,94.97,93.19,89.36,84.39,85.42,86.63,83.4,89.44,83.36,85.58,89.63,88.93,91.06,85.9,95.88,106.57,107.17,109.3,119.78,129.77,130.13,130.66,134.19,137.76,135.06,133.94,142.93,136.36,129.33,124.27,127.02,141.76,137.12,147.36,168.13,186.65,194.65,201.8,203.72,208.78,191.23,219.38,225.34,224.77
Honduras,21.39,22.32,22.49,22.09,22.47,27.27,28.62,28.52,30.41,27.98,27.91,29.69,29.27,32.22,32.14,30.69,33.72,34.83,36.18,37.69,37.24,31.64,26.67,26.16,25.7,25.1,26.59,22.96,26.29,31,37.2,34.52,32.17,34.68,39.84,43.7,46.85,46.19,46.42,41.02,53.97,51.38,52.73,54.09,58.42,59.01,56.05,53.51,51.33,39.53,45.76,51.26,50.39
Heavily indebted poor countries (HIPC),,,,,,22.45,22.47,21.43,22.46,22.62,23.47,21.52,22.06,22.56,25.65,21.75,23.03,22.87,21.54,23.28,23.04,20.21,19.95,20.62,22.23,21.26,19.56,18.55,17.85,19.4,19.31,17.97,17.88,17.72,21.88,23.41,23.23,22.56,22.4,21.89,25.31,24.91,25.6,26.58,28.52,29.16,29.82,30.19,30.51,25.08,28.59,31,28.43
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.65,59.63,52.39,45.84,33.13,35.89,35.68,35.3,36.53,41.69,43.43,40.93,42.57,42.93,42.35,42.84,42.28,42.06,36.6,39.74,42.26,43.38
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.31,7.57,10.85,6.42,9.13,11.33,10.45,9.9,12.25,12.7,12.36,12.13,15.82,15.35,14.04,14.49,13.24,12.73,14.18,12.25,13.67,13.23
Hungary,20.66,22.82,24.2,25.17,26.09,29.03,28.26,26.49,26.24,28.34,30.13,30.03,34.12,38.19,41.61,41.2,38.27,41.09,38.41,41.09,39.09,39.52,37.95,40.24,41.08,42.2,39.64,37.87,36.82,36.04,31.14,33.19,31.86,26.76,29.31,45.21,48.97,55.36,61.75,64.62,74.6,71.98,63.25,61.41,63.35,65.95,77.74,81.3,81.66,77.59,87.31,94,
Indonesia,15.04,10.71,5.81,10.17,13.73,5.53,13.37,9.2,11.39,9.45,13.45,15.04,17.49,21.04,29.8,24.01,24.53,24.84,22.91,30.56,34.18,29.04,25.3,26.34,25.59,22.2,19.49,23.93,23.78,24.29,25.33,25.8,27.89,26.75,26.51,26.31,25.82,27.86,52.97,35.51,40.98,39.03,32.69,30.48,32.22,34.07,31.03,29.44,29.81,24.16,24.58,26.35,24.26
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,4.39,4.23,4.1,4.21,3.66,3.25,4.07,3.96,3.97,3.65,3.72,3.6,3.96,4.14,4.75,5.55,6.57,6.27,6.21,6.63,6.03,5.83,5.88,5.74,6.18,5.16,5.11,5.51,5.93,6.9,6.93,8.35,8.69,9.66,9.72,10.66,10.21,10.51,10.83,11.25,12.77,12.34,14.02,14.69,17.55,19.28,21.07,20.43,23.6,20.05,21.97,23.87,24
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,29.53,32.1,29.91,31.12,30.96,32.28,34.54,35.1,36.02,34.62,33.91,33.12,31.7,34.86,39.04,39.16,42.43,45.3,45.8,45.61,45.45,44.44,44.09,48.11,54.62,55.37,50.31,53.73,56.96,60.38,56.05,56.95,59.84,64.93,69.63,75.33,76.99,79.38,86.84,89.08,97.54,99.65,93.81,83.32,83.45,81.36,79.24,80.35,83.32,90.19,99.82,102.68,107.81
"Iran, Islamic Rep.",,,,,,16.28,16.52,17.62,17.86,18.54,19.16,24.06,24.11,35.15,49.43,43.14,39.84,33.21,25.1,28.09,14.41,12.82,17.73,15.45,12.01,9.39,3.93,9.61,7.72,10.15,14.52,14.97,14.51,27.41,30.35,21.71,20.84,17.43,13.63,21.42,22.71,20.5,26.54,27.23,29.05,33.06,32.45,32.18,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7,65.27,70.57,77.39,56.27,54.35,51.03,45.9,50.33,39.4,38.76,43.16,44.52
Iceland,41.28,41.4,45.03,41.16,37.07,36.24,32.85,28.05,31.59,43.2,44.98,37.43,35.02,35.57,31.41,33.29,34.54,32.92,36.52,37.95,35.49,34.62,32.18,39.69,38.01,40.25,38.59,34.28,31.76,33.53,33.65,31.3,30.3,32.77,35.77,35.53,36.28,36.23,34.72,33.58,33.58,38.8,37.43,34.29,34.07,31.73,32.24,34.65,44.4,52.86,56.37,59.06,59.43
Israel,11.92,11.53,17.8,18.65,17.73,18.85,19.94,23.69,29.8,29.16,27.03,30.75,31.33,30.05,30.09,32.63,38.95,44.57,49.57,47.44,43.78,42.5,38.15,35.38,40.58,44.66,39.45,39.2,35.1,36.81,34.69,29.88,30.63,32.45,32.62,28.64,28.18,29.3,29.95,34.13,37.3,32.91,34.82,36.57,41.33,42.75,41.38,41.17,38.67,33.61,34.97,35.5,36.18
Italy,12.5,12.79,12.67,12.16,12.82,14.29,14.7,14.46,15.24,15.84,15.8,16.24,17,16.79,19.31,19.52,20.89,22.28,22.59,23.33,21.04,22.58,22.01,21.19,21.89,22,19.49,18.74,18.32,19.3,19.03,17.76,18.22,21.26,22.79,25.71,24.68,25.21,25.15,24.28,26.77,26.86,25.48,24.41,25.19,25.87,27.62,28.85,28.46,23.75,26.58,28.83,30.22
Jamaica,33.24,33.3,33.02,34.17,33.46,33.28,37.45,36.05,36.84,36.76,33.23,33.82,32.78,31.55,35.68,35.26,29.05,29.77,40.55,49.81,51.07,47.19,38.04,35.7,55.58,55.86,48.84,46.6,43.63,43.61,48.06,50.21,62.27,47.39,51.3,50.52,43.79,39.11,,,,,32.76,36.61,37.55,35.29,40.14,39.74,41.95,34.47,31.31,30.39,30.43
Jordan,,,,,,,,,,,,,,,,,32.38,33.13,33.45,34.73,40.39,43.64,40.62,35.8,39.08,39.66,28.3,33.07,43.45,56.05,59.84,57.39,50.23,50.34,47.85,51.72,52.87,49.31,44.85,43.37,41.89,42.19,47.48,47.44,52.27,52.79,53.87,54.23,56.51,45.88,47.79,45.58,43.87
Japan,10.72,9.28,9.43,9.04,9.49,10.52,10.58,9.65,10.11,10.56,10.59,11.48,10.38,9.84,13.33,12.54,13.29,12.84,10.9,11.34,13.42,14.4,14.2,13.63,14.72,14.09,11.1,10.15,9.76,10.24,10.29,9.87,9.77,9.06,9,9.05,9.7,10.73,10.78,10.17,10.88,10.45,11.25,11.87,13.21,14.31,16.17,17.75,17.71,12.7,15.17,15.15,14.66
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,37.9,37.06,38.97,35.27,34.92,30.34,42.46,56.6,45.9,46.99,48.42,52.5,53.54,51.15,49.44,57.25,42.04,43.96,49.47,47.6
Kenya,31.1,32.72,32.04,32.03,33.39,31.4,32.41,28.46,29.4,29.53,29.83,28.64,26.59,27.39,33.68,29.82,32.45,34.96,28.94,25.75,29.52,30.46,26.66,25.95,26.75,25.3,25.85,21.31,22.37,23.03,25.69,27.04,26.26,38.9,37.04,32.59,25.2,22.69,20.17,20.83,21.59,22.93,24.9,24.09,26.61,28.51,27.11,26.78,27.61,24.15,27.8,29.11,27.3
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,35.33,35.59,33.53,33.76,29.47,30.74,38.29,36.48,42.2,41.85,36.72,39.58,38.68,42.56,38.73,41.72,52.91,53.55,54.7,51.55,54.54,49.46
Cambodia,13.9,12.89,13.85,17.25,14.96,11.51,7.81,8.9,8.58,6.95,5.76,,,,,,,,,,,,,,,,,,,,,,,16.06,25.79,31.18,25.36,33.62,31.24,40.54,49.85,52.6,55.42,56.52,63.61,64.08,68.59,65.33,65.54,49.22,54.08,54.08,
Kiribati,,,,,,,,,,,,,44.1,52.6,69.4,67.6,56.4,55.8,54.9,61.28,23.44,29.79,9.07,13.24,39.23,21.1,9.44,9.69,18.1,18.59,11.64,7.76,8.56,13.25,26.06,11.58,16.14,20.07,24.37,12.25,12.91,16.04,18.66,16.53,11.62,14.1,10.92,16.92,14.07,14.34,10.85,12.38,11.21
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,63.82,63.35,59.7,66.9,60.38,49.81,48.91,55.05,55.37,61.44,63.9,59.33,55.29,51.75,58.94,61.66,58.32,54.65,51.15,49.68,53.18,53.77,46.99,36.04,33.57,32.1,35.82,38.98,42.25,37.44,33.46,31.09,24.61,29.5,32.62,32.68
"Korea, Rep.",3.16,5.28,4.89,4.63,5.67,8.3,10.02,11.02,12.27,12.93,13.63,14.97,19.39,28.68,26.73,26.89,30.01,30.37,28.42,26.59,32.06,34.27,33.23,32.97,33.37,31.97,35.64,38.27,36.42,30.8,27.95,26.33,26.59,26.53,26.64,28.83,27.86,32.39,46.16,39.06,38.56,35.74,33.13,35.37,40.88,39.27,39.68,41.92,53.01,49.73,52.28,56.03,56.5
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.15,15.81,15.45,17.18,20.26,19.78,18.38
Kuwait,,,64.62,65.39,64.86,67.69,65.69,59.52,61.72,63.5,59.82,66.35,68.6,71.93,84.96,80.47,77.93,72.03,70.54,77.97,78.35,69.5,54.5,59.13,60.11,53.67,46.19,52.54,47.56,52.4,44.94,16.9,40.47,47.77,50.85,52.35,52.28,52.85,43.86,45.94,56.47,51.3,44.62,52.09,56.92,63.98,65.54,63.41,66.76,59.47,64.17,70.23,70.56
Latin America & Caribbean (developing only),10.65,10.49,9.31,11.09,9.65,9.97,9.66,9.12,9.28,9.53,10.24,9.9,10.56,11.49,12.36,10.8,11.34,12.15,11.8,12.74,13.62,13.14,13.96,16.2,16.86,16.13,15.12,15.94,17.01,17.08,17.24,15.93,15.58,14.11,14.46,18.02,18.87,18.08,17.61,18.66,19.67,18.85,21.05,22.24,23.65,23.7,23.84,23.28,23.43,20.72,22.53,23.88,24.12
Lao PDR,,,,,,,,,,,,,,,,,,,,,,,,,2.76,4.04,3.61,6.09,13.63,12.13,11.33,12.95,17.03,21.46,24.99,23.22,22.7,23.89,36.46,35.88,30.1,28.49,29.38,29.69,30.55,34.16,40.4,34.5,32.02,30.88,35.54,37.18,36.24
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.36,18,13.21,11.38,9.67,7.87,10.81,12.85,14.53,13.76,14.06,14.18,15.6,16.1,16.74,20.06,21.38,21.25,23.02,24.43,20.62,22.17,32.24,28.67
Liberia,45.83,34.58,36.59,38.71,61.94,62.9,67.99,78.73,84.31,89.23,74.31,73.72,74.65,85.25,83.62,69.9,78.28,68.2,69.71,68,71.78,69.46,62.39,59.15,55.51,54.86,55.17,,,,,,,,,,,8.79,10.79,14.55,26.14,28.56,35.71,91.51,26.46,23.82,30.81,32.37,34.39,15.26,19.15,27.5,32.36
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.68,33.83,30.59,28.24,27.04,29.18,28.65,26.79,19.37,23.86,35.63,31.86,46.21,62.39,63.26,66.43,71.3,67.56,67.38,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,63.12,66.96,51.77,57.78,63.61,52.64,61.4,74.06,74.55,87.38,80.19,72.56,69.92,67.74,67.66,65.69,67.55,62.35,59.34,58.43,55.16,49.3,46.28,44.15,49.93,54.09,57.77,43.24,40.37,45.63,46.34,52.03,44.43,47.53
Latin America & Caribbean (all income levels),12.09,11.78,10.66,12.33,11.01,11.33,11.02,10.52,10.65,10.96,11.46,10.91,11.45,12.58,13.94,12.57,13.05,14.15,13.79,14.82,15.64,14.95,15.81,18.02,18.67,18.17,17.24,17.99,19.06,19.42,19.6,18.32,17.8,16.2,16.64,20.03,20.62,19.85,19.42,20.58,21.61,20.99,22.98,24.36,25.88,25.95,26.35,25.78,25.93,25.7,24.73,26.2,24.66
Least developed countries: UN classification,,,,,,15.08,15.57,14.28,13.62,14.16,14.39,13.39,13.26,13.56,13.53,11.61,12.9,13.52,12.01,,13.28,12.4,11.32,12.04,11.86,14.1,14.12,13.52,13.45,13.51,14.11,13.08,15.79,15.32,20.31,17.17,22.45,21.58,20.5,22.28,24.97,24.09,23.54,24.32,25.88,28.9,29.8,29.91,30.6,25.55,27.74,29.56,27.16
Low income,14.95,14.91,14.94,15.76,16.34,14.86,15.4,13.58,13.1,12.97,13.37,12.38,11.76,12.22,12.4,11.07,12.57,13.71,12.91,13.46,13.82,12.78,11.32,11.45,11.79,12.03,11.98,11.58,11.9,11.93,12.58,12.5,12.52,14.74,16.64,18.21,16.83,17.21,16.99,17.21,18.39,18.88,18.66,19.7,21.26,22.64,23.87,24.59,24.98,22.2,23.96,26.47,24.76
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,29.75,27.54,27.79,25.76,24.62,25.9,22.37,20.46,20.62,18.39,25.45,24.61,22.33,24.35,26.43,27.49,29.05,33.81,34.77,33.71,32.22,30.46,27.36,26.33,28.8,26.01,23.72,25.19,26.08,27.26,30.18,28.74,31.77,33.8,33.81,35.6,34.97,36.54,36.24,35.48,39.02,37.33,34.91,34.65,35.33,32.34,30.13,29.11,24.84,21.33,22.38,23.05,22.8
Lower middle income,10.49,9.4,8.69,9.75,10.11,8.92,10.62,9.59,9.77,9.24,10.31,10.29,11.28,12.89,15.96,14.15,14.65,14.96,13.94,16.4,17.16,15.82,14.24,14.36,14.57,13.44,12.42,13.91,14.22,17.12,17.61,18.82,19.17,19.33,19.59,21.32,21.19,22.28,24.95,23.4,26.82,25.75,25.43,25.93,27.73,28.66,29.37,28.23,29.58,25.01,26.52,28.37,27.36
Low & middle income,,,,,,,,,,,9.37,9.42,10.12,11.6,13.46,12.04,12.51,12.64,12.7,14.48,15.6,15.56,15.29,15.41,15.93,15.37,14.63,16.94,17.72,18.15,18.95,19.29,20.2,20.06,21.45,22.58,22.98,23.81,24.09,24.43,27.34,26.65,27.78,29.3,31.65,32.93,34.05,33.38,33.1,27.65,29.6,30.87,29.46
Lesotho,11.74,12.55,14.38,14.88,15.36,15.56,10.86,12.05,12.08,13.58,12.22,12.8,16.08,14.27,13.66,14.47,17.91,11.9,17.26,22.1,21.01,19.29,19.45,16.61,17.39,16.46,15.66,13.02,20.91,21.61,17.96,18.71,20.24,23.62,24.48,22.45,29.89,28.95,32.21,28.36,34.85,53.85,66.17,60.07,56.37,48.87,53.55,52.1,56.02,45.59,44.05,46.78,46.52
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.09,29.64,23.35,82.54,55.38,47.41,49.97,51.58,45.06,38.63,44.75,49.78,52.71,51.15,52.05,57.53,59.08,54.09,59.88,54.63,68.58,77.51,
Luxembourg,88.71,89.01,81.79,79.51,80.63,83,79.46,80.77,82.83,86.7,91.44,90.68,85.27,91.9,105.59,95.14,90.66,89.36,86.19,93.54,91.07,89.14,91.57,92.83,104,111.58,102.11,99.27,100.86,103.69,101.55,101.44,100.41,100.68,104.02,106.4,111.15,120.92,127.52,134.28,150.01,146.64,140.71,137.03,152.39,155.84,169.89,175.9,181.78,161.99,170.8,178.34,177.29
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.71,35.25,79.94,73.24,46.46,42.67,46.82,46.85,47.18,40.37,41.64,41.58,40.87,42.07,43.96,47.85,44.88,42.35,42.82,43.89,53.81,58.84,
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,127.14,128.67,129.32,120.93,123.52,123.62,119.39,117.03,109.97,102.99,91.33,84.89,82.24,82.7,83.44,83.7,84.6,86.96,100.42,100.3,104.15,105.55,107.11,94.58,90.06,93.49,97.04,94.14,105.95,111.8,108.28
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,23.57,21.75,18.02,17.92,19.49,18.16,18.96,17.9,18.48,18.38,17.64,16.95,18.57,20.84,27.56,22.47,17.92,16.9,16.37,17.01,17.39,20.17,19.25,21.27,23.82,25.35,22.01,23.61,25.93,23.6,26.45,24.11,25.08,26.07,24.89,27.42,26.28,28.46,24.41,26.32,27.98,29.41,30.15,28.66,29.37,32.31,34.2,35.75,37.48,28.7,33.24,35.58,36.18
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.22,32.43,38.94,21.12,38.24,49.35,55.27,54.79,48.53,52.09,49.78,49.85,52.74,53.48,50.71,51.14,45.26,47.45,40.82,36.87,39.23,44.97,43.62
Madagascar,10.03,14.6,13.76,12.78,13.3,13.21,17.29,17.51,17.75,18.11,19.16,14.44,14.26,14.25,15.53,15.86,15.16,16.44,17.15,14.58,13.34,11.51,11.22,10.57,13.28,12.24,12.15,16.56,16.3,18.45,16.6,18.11,16.38,15.32,22.03,24.13,20.49,21.87,21.52,24.47,30.68,29.08,16.01,23.09,32.64,28.22,29.73,30.32,26.59,28.48,23.76,26.06,
Maldives,,,,,,,,,,,,,,,,,,,,,153.54,166.36,159.8,132.63,77.17,71.64,68.08,78.72,75.86,79.19,85.45,76.93,78.03,67.13,77.74,92.66,91.71,91.22,92.43,90.51,89.47,57.86,59.79,61.47,64.03,48.82,59.63,116.99,104.13,86.28,94.06,109.18,105.85
Middle East & North Africa (all income levels),,,,,,,,,33.04,33.64,34.83,36.9,39.41,53.56,48.4,49.09,44.67,42.83,39.11,43.17,44.28,43.54,37.78,33.1,31.76,29.85,24.71,27.85,27.48,29.3,32.61,29.59,31.09,32.12,32.91,32.71,33.6,32.97,27.69,31.97,38.65,37.56,38.75,42.15,45.82,49.85,50.77,50.84,56.25,47.08,48.98,54.28,54.41
Mexico,8.49,8.42,8.56,8.33,7.64,7.64,7.47,6.87,7.04,7.54,7.75,7.64,8.06,8.41,8.41,6.89,8.49,10.32,10.47,11.19,10.71,10.41,15.33,19,17.38,15.41,17.34,19.5,19.93,19,18.6,16.36,15.24,11.99,13.17,24.92,26.44,24.94,25.45,25.17,25.95,23.36,23.18,24.59,26.08,26.45,27.57,27.74,27.9,27.28,29.98,31.51,32.87
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,,,,,,,,,,,9.28,9.35,10.09,11.59,13.49,12.07,12.51,12.62,12.7,14.5,15.64,15.63,15.39,15.51,16.03,15.46,14.69,17.07,17.86,18.3,19.11,19.46,20.4,20.2,21.58,22.7,23.14,23.98,24.28,24.63,27.58,26.86,28.03,29.56,31.93,33.2,34.32,33.61,33.31,27.79,29.75,30.98,29.57
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.82,22.91,54.35,46.75,38.19,33.01,28.18,37.31,41.21,42.17,48.63,42.69,38.03,38.06,39.94,44.13,46.62,52.36,50.9,39.18,46.57,54.55,53.17
Mali,,,,,,,,11.36,10.22,11.2,12.47,13.42,10.03,10.19,12.72,9.66,11.01,12.76,11.6,11.99,14.7,13.43,14.33,16.14,17.8,16.76,15.31,16.56,16.37,16.66,17.15,18.24,15.43,15.84,23.01,21.11,20.03,26.12,24.79,26.45,26.78,33.3,31.88,26.42,25.38,25.62,30.77,26.18,29.2,23.74,25.99,26.25,31.12
