Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bangladesh,10,10.78,10.75,9.98,10.03,9.66,10.28,9.31,8.33,8.15,8.31,6.29,5.67,6.54,3.7,2.9,4.75,7.04,5.56,6.11,5.49,5.27,5.21,5.74,3.28,5.55,5.35,5.17,5.63,5.75,6.12,6.66,7.59,9.02,9,10.86,11.08,11.99,13.33,13.19,13.98,15.38,14.28,14.21,15.46,16.58,18.97,19.78,20.34,19.43,18.41,22.9,23.17
Bulgaria,,,,,,,,,,,,,,,,,,,,,35.71,35.64,34.28,37.15,40.13,42.8,40.03,40.79,45.57,46.42,33.12,43.48,47.11,38.21,45.05,51.92,59.39,58.68,59.09,55.98,50.46,48.72,47.45,48.53,51.93,40.54,61.21,59.47,58.22,47.51,57.41,66.5,66.63
Bahrain,,,,,,,,,,,,,,,,,,,,,124.11,131.13,118.98,96.68,96.49,101.77,98.71,102.37,95.34,98.64,115.56,85,84.38,83.87,81.19,81.99,87.91,79.08,64.6,78.87,79.18,73.61,72.22,72.06,78.61,83.89,84.64,79.68,82.58,68.47,69.54,79,75.27
"Bahamas, The",,,,,,,,,,,,,,,,,,82.65,82.66,68.87,70.38,67.38,65.79,66.57,63.59,64.79,63.82,61.32,,53.83,54.16,50.95,50.25,51.97,51.02,49.55,48.04,43,40.4,42.5,44.36,39.72,42.17,41.75,44.55,45.19,44.66,46.74,46.04,39.86,40.86,43.59,44.79
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.45,20.41,23.62,27.83,27.3,27.64,28.69,28.39,24.35,30.29,32.24,32.14,36.66,43.33,41.06,31.67,35.5,31.31,31.17
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.96,36.85,59.29,67.64,71.27,49.67,46.35,59.86,59.05,59.2,69.21,66.75,63.63,65.16,67.89,59.8,60.06,60.94,60.94,50.53,54.28,81.13,81.64
Belize,,,,,,,,,,,,,,,,,,,,,55.38,53.4,47.98,49.07,62.45,48.48,55.52,60.46,62.02,59.74,62.22,54.27,49.73,46.7,49.84,47.97,50.01,52.79,52.59,55.07,52.99,50.87,52.55,53.19,50.56,54.66,61.13,61.09,62.33,51.57,58.18,61.08,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,24.59,21.39,21.11,27.71,35.29,25.94,27.68,26.77,22.6,24.17,24.53,23.27,29.06,28.32,23.65,19.05,21.32,19.63,18.77,22.5,22.78,21.48,20.05,19.08,21.66,22.55,22.58,21.11,19.7,16.88,18.27,19.97,21.63,25.6,31.14,35.55,41.77,41.8,44.91,35.72,41.19,44.12,47.25
Brazil,7.06,7.28,3.87,9.04,6.39,7.74,6.82,5.77,6,6.62,7.03,6.41,7.26,8.27,8.01,7.54,7.04,7.25,6.68,7.12,9.05,9.42,7.61,11.42,13.55,12.25,8.82,9.46,10.89,8.93,8.2,8.68,10.87,10.5,9.51,7.26,6.57,6.82,6.93,9.41,9.98,12.18,14.1,14.99,16.43,15.13,14.37,13.36,13.66,10.98,10.87,11.89,12.56
Barbados,43.72,45.06,51.08,55.08,52.1,58.39,62.53,60.34,63.26,61.59,59.5,61.23,64.85,60.32,62.31,50.38,44.89,49.59,58.08,65.43,70.13,59.74,63.83,70.51,71.93,67.75,56.53,45.99,48.71,50.3,42.89,40.83,41.46,42.64,45.26,45.93,47.03,45.57,41.55,40.85,42.4,40.21,38.22,42.15,40.91,43.99,44.94,45.29,46.03,41.48,46.34,39.34,42.48
Brunei Darussalam,,,,,,,,,,,,,,,90.05,90.06,93.65,94.63,95.01,95.06,93.36,93.14,89.34,88.27,,,,,,61.81,61.81,66.68,57.87,54.76,51.08,59.72,59.93,57.19,50.47,55.82,67.35,69.53,67.12,69.29,68.8,70.17,71.72,67.85,78.3,72.78,81.44,81.28,81.37
Bhutan,,,,,,,,,,,,,,,,,,,,,13.65,15.44,13.7,12.06,12.93,14.99,17.63,23.55,28.07,28.05,26.83,32.16,31.99,31.57,29.53,37.77,35.49,35.9,33.1,31.11,28.98,28.94,24.92,26.19,31.29,38.25,54.42,54.97,46.59,45.71,39.83,34.59,
Botswana,26.28,27.22,27.93,28.99,28.81,31.71,29.27,24.61,23.05,22.77,24.66,33.15,37.37,38.83,40.92,43.59,50.39,50.9,52.06,54.12,53.06,49.71,54.56,62.08,60.81,66.29,68.33,75.13,70.52,59.22,55.06,53.03,48.18,47.1,47.82,50.84,53.83,60.88,49.29,55.2,51.83,48.66,52.16,48.83,49.61,52.92,52.25,53.69,52.73,37.06,35.77,44.35,44.5
Sub-Saharan Africa (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,23.27,26.49,24.59,25.24,28.45,27.1,28.35,26.3,34.31,27.33,31.94,29.8,24.93,28.62,27.74,21.13,22.19,25.2,23.42,22.43,25.22,24.38,22.18,24.15,23.39,22.01,18.19,17.84,17.74,20.3,17.07,17.59,16.87,17.1,23.4,22.22,21.47,26.88,22.66,19.22,20.37,17.16,15.96,18.24,14,13.23,14.92,15.13,11.7,9.54,10.4,11.43,11.57
Canada,16.97,17.75,17.78,18.25,19.19,18.54,19.34,20.27,21.2,21.25,22.32,21.45,21.67,23.18,24.51,22.43,22.15,23.18,25.05,26.88,28.08,26.92,25.69,25.46,28.64,28.28,27.85,26.82,26.72,25.68,25.81,25.12,27.09,30.21,34,37.32,38.39,39.49,41.44,43.18,45.58,43.54,41.56,38.12,38.42,37.81,36.13,34.96,35.12,28.75,29.43,31.11,30.42
East Asia and the Pacific (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
